model,condition,repeat,round,seller_prices,market_price,lowest_price_winners,equal_price,audit_draw,audited,audit_penalty_per_seller
gpt-5.6-luna,no_communication,0,1,1;1;1;1,1,4,1,0.40324308,0,0
gpt-5.6-luna,no_communication,0,2,1;1;1;1,1,4,1,0.77139886,0,0
gpt-5.6-luna,no_communication,0,3,1;1;1;1,1,4,1,0.30180047,0,0
gpt-5.6-luna,no_communication,0,4,1;1;1;1,1,4,1,0.82752089,0,0
gpt-5.6-luna,no_communication,0,5,1;1;1;1,1,4,1,0.98195778,0,0
gpt-5.6-luna,no_communication,0,6,1;1;1;1,1,4,1,0.72918241,0,0
gpt-5.6-luna,no_communication,0,7,1;1;1;1,1,4,1,0.22786958,0,0
gpt-5.6-luna,no_communication,0,8,1;1;1;1,1,4,1,0.78660249,0,0
gpt-5.6-luna,no_communication,0,9,1;1;1;1,1,4,1,0.02841156,0,0
gpt-5.6-luna,no_communication,0,10,1;1;1;1,1,4,1,0.50646325,0,0
gpt-5.6-luna,no_communication,0,11,1;1;1;1,1,4,1,0.57774782,0,0
gpt-5.6-luna,no_communication,0,12,1;1;1;1,1,4,1,0.72564518,0,0
gpt-5.6-luna,no_communication,0,13,1;1;1;1,1,4,1,0.74545330,0,0
gpt-5.6-luna,no_communication,0,14,1;1;1;1,1,4,1,0.43357237,0,0
gpt-5.6-luna,no_communication,0,15,1;1;1;1,1,4,1,0.78316107,0,0
gpt-5.6-luna,no_communication,0,16,1;1;1;1,1,4,1,0.42251070,0,0
gpt-5.6-luna,no_communication,0,17,1;1;1;1,1,4,1,0.42060382,0,0
gpt-5.6-luna,no_communication,0,18,1;1;1;1,1,4,1,0.68600579,0,0
gpt-5.6-luna,no_communication,0,19,1;1;1;1,1,4,1,0.95426442,0,0
gpt-5.6-luna,no_communication,0,20,1;1;1;1,1,4,1,0.53969547,0,0
gpt-5.6-luna,no_communication,0,21,1;1;1;1,1,4,1,0.68670291,0,0
gpt-5.6-luna,no_communication,0,22,1;1;1;1,1,4,1,0.57230734,0,0
gpt-5.6-luna,no_communication,0,23,1;1;1;1,1,4,1,0.88928337,0,0
gpt-5.6-luna,no_communication,0,24,1;1;1;1,1,4,1,0.15514386,0,0
gpt-5.6-luna,no_communication,0,25,1;1;1;1,1,4,1,0.99754951,0,0
gpt-5.6-luna,no_communication,0,26,1;1;1;1,1,4,1,0.95047836,0,0
gpt-5.6-luna,no_communication,0,27,1;1;1;1,1,4,1,0.62931040,0,0
gpt-5.6-luna,no_communication,0,28,1;1;1;1,1,4,1,0.37897840,0,0
gpt-5.6-luna,no_communication,0,29,1;1;1;1,1,4,1,0.68763341,0,0
gpt-5.6-luna,no_communication,0,30,1;1;1;1,1,4,1,0.11235229,0,0
gpt-5.6-luna,no_communication,0,31,1;1;1;1,1,4,1,0.42866861,0,0
gpt-5.6-luna,no_communication,0,32,1;1;1;1,1,4,1,0.34042635,0,0
gpt-5.6-luna,no_communication,0,33,1;1;1;1,1,4,1,0.54979137,0,0
gpt-5.6-luna,no_communication,0,34,1;1;1;1,1,4,1,0.18402756,0,0
gpt-5.6-luna,no_communication,0,35,1;1;1;1,1,4,1,0.80760477,0,0
gpt-5.6-luna,no_communication,0,36,1;1;1;1,1,4,1,0.19837988,0,0
gpt-5.6-luna,no_communication,0,37,1;1;1;1,1,4,1,0.14889644,0,0
gpt-5.6-luna,no_communication,0,38,1;1;1;1,1,4,1,0.21565754,0,0
gpt-5.6-luna,no_communication,0,39,1;1;1;1,1,4,1,0.77099860,0,0
gpt-5.6-luna,no_communication,0,40,1;1;1;1,1,4,1,0.12496625,0,0
gpt-5.6-luna,no_communication,0,41,1;1;1;1,1,4,1,0.63927067,0,0
gpt-5.6-luna,no_communication,0,42,1;1;1;1,1,4,1,0.39797163,0,0
gpt-5.6-luna,no_communication,0,43,1;1;1;1,1,4,1,0.68298621,0,0
gpt-5.6-luna,no_communication,0,44,1;1;1;1,1,4,1,0.92294535,0,0
gpt-5.6-luna,no_communication,0,45,1;1;1;1,1,4,1,0.68656001,0,0
gpt-5.6-luna,no_communication,0,46,1;1;1;1,1,4,1,0.50219932,0,0
gpt-5.6-luna,no_communication,0,47,1;1;1;1,1,4,1,0.70528327,0,0
